scale_1000,scale_10000,scale_50000,scale_100000,scale_200000
7475.595,10584.23,11386.335,11883.92,15648.74
7444.4,10528.045,11333.085,11882.705,14581.575
7445.325,10407.125,11305.11,12087.24,13622.935
7438.81,10452.24,11340.715,11901.79,17374.985
7454.115,10174.005,11331.735,11881.23,15002.24
7423.505,9939.195,11297.77,11895.89,15004.35
7444.225,9943.31,11424.38,11841.945,15161.785
7419.39,9947.245,11311.55,12913.145,13969.83
7422.825,9947.11,11352.475,11938.1,14966.695
7501.455,9917.48,11309.355,11987.05,16730.44
7724.32,9955.615,11375.455,14493.61,17436.23
7602.145,9976.21,11436.26,16555.29,15115.56
7402.58,9986.63,11441.91,13467.555,14017.88
7837.195,9940.38,11387.73,13536.09,14814.345
7808.265,9915.845,11394.455,13442.67,15436.645
7392.465,10180.755,11372.22,15982.705,14216.86
7385.83,9980.52,11363.605,13367.98,14584.865
7400.945,9942.71,11324.445,15829.035,16098.03
7543.415,10087.685,11350.675,14929.745,20716.405
7467.82,10357.24,11535.015,15643.97,19753.27
7542.13,10590.71,11303.32,14260.005,23103.865
7443.6,9885.45,11356.195,12899.895,20883.98
7482.6,9919.185,11344.955,17267.835,13178.42
7420.955,9922.52,11280.545,16528.305,14023.42
7452.61,9931.7,11328.945,15417.94,12853.19
7475.185,9918.37,11341.34,14038.26,17437.205
7425.995,9931.075,11295.29,16719.26,15414.85
7793.4,10270.105,11303.515,12328.57,16706.11
7727.815,9949.72,11344.675,12760.585,19218.075
7835.035,9943.335,11316.53,14308.025,18010.2
