scale_1000,scale_10000,scale_50000,scale_100000,scale_200000
8910.66,12135.49,16235.525,19996.78,16033.455
9061.15,12076.75,14633.65,16033.865,16352.14
9727.055,12032.305,13981.195,16861.14,16210.47
9494.32,12030.045,13937.11,15695.61,15796.105
9384.17,12054.365,14012.015,14859.49,15660.14
9527.06,12064.08,13864.765,15139.855,15665.06
9511.88,12056.86,13811.115,15549.195,16341.53
9516.2,12027.785,14092.89,14874.09,17342.76
9334.845,12036.755,13938.3,14815.37,16043.055
9668.535,12554.525,13902.43,14759.155,16075.95
9446.185,12119.14,14206.815,15198.38,16149.45
9463.93,12112.6,13974.925,18472.71,15510.91
9557.405,12060.22,13982.815,18302.51,17968.245
9411.92,12096.265,14009.85,17539.27,18914.05
9347.87,12365.735,14316.955,17362.835,15525.725
9300.83,12002.945,14183.345,15462.955,15916.76
9201.97,11966.905,13954.68,18029.62,15249.38
8576.055,12029.815,14080.25,15067.17,15461.955
8613.765,12545.275,14481.09,21295.13,15221.085
8634.8,12764.29,14127.995,21068.205,16255.745
8677.135,13021.315,17636.72,21452.905,15482.335
8678.53,12669.87,17672.485,17047.81,15252.655
8661.135,12037.25,19968.63,16629.035,15220.14
8632.41,12581.615,15143.495,21655.68,15357.59
8647.68,12910.36,14152.055,18278.925,15751.425
8638.37,12668.005,14160.205,15450.325,16118.93
8692.1,11964.115,14579.605,14964.635,15578.515
8768.62,11978.275,14543.89,16369.23,15300.665
8651.325,12100.075,14293.16,14789.075,15651.59
8741.185,12011.845,14150.94,14804.61,15362.605
