scale_1000,scale_10000,scale_50000,scale_100000,scale_200000
8177.245,10297.35,11666.33,13080.51,12944.815
8304.78,10871.39,11565.42,14150.705,12933.15
8587.525,11062.51,13051.05,14000.38,12999.155
8128.3,10991.35,13246.04,14134.395,12891.715
7797.87,10510.68,12252.01,13037.7,12901.19
7501.325,10154.005,12253.265,13297.535,12932.89
7818.69,10244.31,12709.44,12302.21,12863.13
7546.35,10325.04,14586.72,12257.955,12885.41
7489.46,10233.205,12364.055,12206.415,12941.87
7442.91,10280.535,12398.005,12243.57,12942.15
7446.97,10273.835,12276.28,12281.125,12854.61
7444.575,10223.72,12263.02,12269.16,12844.235
7469.37,10211.19,12704.66,12250.425,12886.635
7430.47,10152.93,12368.515,12249.69,12879.215
7439.815,10271.165,12244.955,12302.625,12834.15
7435.205,10156.675,12446.515,12264.52,12888.66
7456.45,10321.315,14160.01,12289.115,13026.065
7437.2,10183.57,17278.775,12254.95,12896.93
7714.185,10187.645,12953.86,12307.985,12894.735
7925.035,10754.11,12320.615,12247.42,12969.685
7853.21,11461.54,12428.975,12259.225,12844.535
7469.2,10210.465,13750.015,12266.41,12913.175
7457.145,10194.62,12637.26,12205.01,14062.815
7483.715,10208.445,16722.795,12243.51,12852.83
7495.915,10269.98,13305.51,12238.56,12935.34
7498.425,10672.005,14213.915,12206.215,12814.425
7529.08,10431.1,16776.07,12200.045,12811.915
7535.275,10171.96,14001.405,12232.89,12904.14
7494.76,10241.11,13672.67,12269.86,12911.725
7469.075,10176.485,14291.195,12206.375,12884.45
