scale_1000,scale_10000,scale_50000,scale_100000,scale_200000
8197.035,14878.705,44852.16,68992.455,151360.74
8052.18,15838.245,40290.63,66000.445,142031.97
7479.985,14912.465,42373.1,66437.505,124886.13
7509.395,14972.78,48045.31,69347.805,126251.515
7508.79,14894.485,47177.42,65987.565,123172.365
7505.645,14899.565,40803.23,66339.81,125068.725
7476.115,14855.73,43132.965,83213.28,123193.525
7578.375,15365.25,40090.56,77434.625,124468.35
7532.365,14760.63,41710.375,83474.965,124098.26
7482.47,14821.735,41114.365,94360.84,122983.97
7476.45,15897.82,38468.025,83718.615,125887.95
7549.575,16190.295,38242.99,78845.7,132201.51
7542.58,15252.3,38215.115,68420.875,145719.115
7495.63,15519.34,38509.275,67886.525,144384.71
7462.515,15448.885,39081.565,68550.29,123098.53
7462.77,15506.585,38050.875,79186.98,122884.845
7504.49,15528.745,37997.605,84696.295,122780.355
7536.15,15458.05,37980.275,82803.21,126170.32
7540.655,15415.345,38110.94,69519.23,122511.785
7595.36,15510.83,38138.43,66369.865,122451.04
7660.93,15435.935,37969.99,66543.64,122325.96
7630.935,15000.52,38417.335,68210.03,126524.465
7656.995,14822.225,38087.28,68597.345,122937.105
7570.025,14871.505,38032.54,70568.78,125200.105
7586.005,14855.615,38030.565,90417.595,123181.415
7571.355,18823.44,38296.675,75497.245,122404.545
7534.44,19418.165,38564.845,82228.285,123582.425
8145.21,17522.12,37988.2,76330.79,122673.765
7604.81,16618.185,37926.125,79065.75,122117.715
7628.29,21691.56,38869.16,74401.685,122182.85
