scale_1000,scale_10000,scale_50000,scale_100000,scale_200000
44817.03,414660.7,4554541.13,9748101.475,23361682.445
41881.39,421046.63,4300849.51,10180124.365,23757450.15
42331.7,415294.145,4388937.47,9830816.53,23896284.24
41856.595,420503.755,4338272.77,10281916.95,23471826.94
42793.555,436059.46,4231279.98,9798095.095,23396638.63
43188.39,427961.455,4046786.35,9793695.25,23678054.38
43603.49,433698.975,4385105.11,9295203.245,23576733.18
43239.69,436334.61,3931202.185,9826714.945,23561611.26
43721.72,439801.13,4293142.11,9526913.19,23505117.235
43305.17,413058.83,4450653.275,9850679.25,23592461.975
45167.06,437789.805,3916013.18,9626724.98,23645460.21
51072.595,445944.365,3733611.635,9959895.11,23100761.365
45984.76,444461.685,3817765.775,9600287.145,22509555.19
43215.935,428164.08,3741478.55,9869880.51,22349063.36
41585.775,415303.29,4323798.48,9611736.245,22607433.925
41685.565,436963.285,4259908.6,10276468.25,22254513.04
41656.94,431286.885,4366746.34,9775875.76,22346104.59
41850.81,417108.14,4286841.28,10171795.855,22275041.565
41927.02,426389.93,4469235.015,9729681.29,22497478.97
44214.395,417682.705,4114019.535,10117218.135,22382479.415
44156.455,414733.205,4214988.395,9915754.195,22326864.715
43881.135,438894.175,4029003.865,10118542.465,22108997.0
44085.01,432629.335,4211530.825,9665883.485,22184575.34
44358.275,437355.96,4005966.94,9979739.76,22284379.29
44031.41,437300.06,4296067.405,9857967.405,22389341.64
44075.9,433298.93,4213858.445,9877777.62,22788733.38
43991.76,433207.375,4378384.585,9674370.37,24964220.61
43950.5,412591.475,4099622.35,9857697.78,24335204.485
44130.365,440765.315,4157071.955,9651115.42,25197922.885
44125.46,474165.285,4035560.81,9885531.08,24793399.63
