scale_100_break,scale_100_rebuild,scale_100_verify,scale_200_break,scale_200_rebuild,scale_200_verify,scale_500_break,scale_500_rebuild,scale_500_verify,scale_1000_break,scale_1000_rebuild,scale_1000_verify
72400,257700,76200,141300,496600,140600,317700,1109500,318200,665800,2435100,769500
71000,241300,70100,140500,483100,141200,319800,1100100,315700,741600,2401300,700200
70300,241200,70600,140400,480000,140100,319400,1112800,323500,679500,2515600,668600
74300,240800,70000,141100,487200,140100,319800,1274800,418100,839000,2335300,667900
71000,243700,70600,141100,483700,140200,335600,1116400,316900,671800,2513300,757300
70400,243400,70200,140400,480400,140800,360300,1159300,346000,672900,2456100,672400
70600,241600,69800,142200,489100,141900,319600,1197100,321500,741600,2462900,811500
70800,241900,70400,140800,484400,141100,324800,1146300,326900,674300,2440500,662400
70300,246800,70400,141000,488300,141100,337000,1164000,333300,907900,2364500,668600
71300,241200,70300,140500,485700,143600,348900,1218700,400700,674100,2537000,662900
70800,242300,70800,139700,481700,139200,331000,1139200,333100,698900,2365900,670300
70800,241100,70200,140700,479900,140100,347600,1159500,335200,676200,2591200,746500
70600,243600,70300,141200,484300,141200,325300,1145400,330100,704200,2640200,737900
71300,243800,70900,140200,480300,140200,325000,1211300,395700,699600,2415800,763200
70400,243500,70600,139600,482100,139400,327200,1149600,334000,686900,2652100,686900
72500,248600,73400,140800,486400,144000,326900,1167500,334700,680000,2386600,661300
71800,243800,71000,140300,482400,140800,324900,1145600,327500,663900,2482000,770700
71300,244100,71100,141400,486800,141100,327700,1155200,331200,660600,2464500,712700
71000,243900,71600,140900,486800,140400,325600,1184900,329200,667600,2399400,743100
75200,242300,70200,140500,482000,140900,326600,1151100,335100,685500,2477700,661700
